iter	Logloss
0	0.6872086853
1	0.6814440997
2	0.6761596143
3	0.6712183913
4	0.6665720616
5	0.6615116816
6	0.6570490721
7	0.6518759546
8	0.6470086699
9	0.6430097726
10	0.6390657471
11	0.6349063708
12	0.6305907892
13	0.6266056536
14	0.6228044046
15	0.6189275348
16	0.6153573857
17	0.6117972821
18	0.6078216667
19	0.6044292209
20	0.6010065006
21	0.5977453069
22	0.5943079618
23	0.5910860293
24	0.5884381499
25	0.585720738
26	0.5831302738
27	0.5800546532
28	0.5775558512
29	0.5742642279
30	0.5719856244
31	0.5694348985
32	0.5666387419
33	0.5634702319
34	0.5613435724
35	0.5592467892
36	0.5563038642
37	0.5540216734
38	0.551749719
39	0.54901728
40	0.5468805325
41	0.5444329564
42	0.5422892092
43	0.540277575
44	0.5381778011
45	0.5362373288
46	0.534515851
47	0.5325909141
48	0.5304103222
49	0.5285888587
50	0.5262346838
51	0.5247956283
52	0.5223454326
53	0.5208357418
54	0.5190561127
55	0.5172274666
56	0.5158960002
57	0.5143205029
58	0.5130007385
59	0.5111579199
60	0.5092629226
61	0.5074211377
62	0.5064306433
63	0.5049354699
64	0.5035150773
65	0.5023438712
66	0.5011793327
67	0.4997090267
68	0.4982453497
69	0.497076237
70	0.4958396198
71	0.4946046112
72	0.4934157341
73	0.4920700086
74	0.4906534056
75	0.4894166124
76	0.4879656678
77	0.4864487608
78	0.485421392
79	0.4840899507
80	0.483123373
81	0.4819274837
82	0.480960064
83	0.479829061
84	0.4786650402
85	0.4778406934
86	0.476370764
87	0.474967243
88	0.4739324765
89	0.4731307134
90	0.4719686017
91	0.4710044854
92	0.4699633365
93	0.4690642119
94	0.4681686143
95	0.4672139396
96	0.4660046677
97	0.4652745223
98	0.4644935002
99	0.4634868335
100	0.4626531373
101	0.4617839076
102	0.4610332942
103	0.4600012252
104	0.459288707
105	0.4585535041
106	0.4577499858
107	0.4567910857
108	0.4561487393
109	0.4551687842
110	0.4543281915
111	0.4536991099
112	0.4530567303
113	0.4523058908
114	0.4517800992
115	0.451022546
116	0.4502219964
117	0.4493303952
118	0.4487624073
119	0.4479347773
120	0.4471700532
121	0.4464675867
122	0.4457467068
123	0.4450872614
124	0.4445092061
125	0.4438775035
126	0.4432523715
127	0.4423352038
128	0.4418445064
129	0.4413065608
130	0.4404646196
131	0.4399196935
132	0.4393064425
133	0.4388326789
134	0.43813931
135	0.4375381282
136	0.4369231811
137	0.43624116
138	0.4356307794
139	0.4350655372
140	0.4343542415
141	0.4336673076
142	0.4332838304
143	0.4326932438
144	0.432294106
145	0.4318326145
146	0.4314443138
147	0.4307650737
148	0.4299939108
149	0.4292814166
150	0.4288274688
151	0.4283843776
152	0.4277489789
153	0.4272776369
154	0.4267921115
155	0.4262182991
156	0.4258190089
157	0.4252284918
158	0.4247474702
159	0.4240106946
160	0.4233553308
161	0.4227338359
162	0.4219882312
163	0.4214887238
164	0.4208447211
165	0.4205529516
166	0.4203001264
167	0.4196624048
168	0.4192217177
169	0.4187507819
170	0.418267357
171	0.417833894
172	0.4172559084
173	0.4164335369
174	0.4160392996
175	0.4154394887
176	0.4149581131
177	0.4144588763
178	0.4141146173
179	0.4135216296
180	0.4130896278
181	0.4127219267
182	0.4121350529
183	0.4116403484
184	0.4111119419
185	0.4105727218
186	0.4100925884
187	0.4097421239
188	0.4092175578
189	0.4084252914
190	0.4082361733
191	0.4078053289
192	0.4073629353
193	0.4067945354
	0.07422903201
192	0.07380250841
193	0.07343635057
194	0.07321403741
195	0.0727794149
196	0.07245096301
197	0.07185453193
198	0.07139166848
199	0.07104543154
200	0.07037136434
201	0.06975598258
202	0.06937075996
203	0.0689399839
