iter	Logloss
204	0.06854444355
205	0.06801399069
206	0.06768860085
207	0.0673565445
208	0.06674762744
209	0.06630833753
210	0.06574337349
211	0.06527700249
212	0.06490214418
213	0.0646449335
214	0.06430195934
215	0.06390429942
216	0.0634203067
217	0.0630060581
218	0.06270361632
219	0.06217884104
220	0.06182816499
221	0.06149929764
222	0.06097621348
223	0.06053352798
224	0.0603516976
225	0.05992807303
226	0.05944070877
227	0.05920679795
228	0.05869370847
229	0.05838583722
230	0.05801048924
231	0.05765426448
232	0.05741904232
233	0.05703162448
234	0.05679866341
235	0.05636773927
236	0.05593307887
237	0.05571508443
238	0.05545212665
239	0.05517117879
240	0.05502197208
241	0.05474445421
242	0.05434883672
243	0.05406706086
244	0.0538151195
245	0.05363016791
246	0.05337227443
247	0.05307043566
248	0.05280730168
249	0.05253525724
250	0.05226103048
251	0.05200710142
252	0.05174282075
253	0.05135566151
254	0.0511196997
255	0.05070572269
256	0.05042122703
257	0.04999759147
258	0.0496997495
259	0.04936607353
260	0.04907291737
261	0.04877540902
262	0.04842513281
263	0.04812927669
264	0.04772742927
265	0.04745777372
266	0.04720811257
267	0.04690115375
268	0.04675111939
269	0.04653952665
270	0.04629950629
271	0.04605259798
272	0.04592080382
273	0.0457844169
274	0.04562029094
275	0.04543042782
276	0.04507839312
277	0.04484673968
278	0.04465437692
279	0.04449978242
280	0.04430966205
281	0.0441953722
282	0.04397995042
283	0.04388895687
284	0.0436921961
285	0.04352504306
286	0.04339115037
287	0.04326405178
288	0.04302461274
289	0.04276506667
290	0.04257610464
291	0.04234459064
292	0.04211835553
293	0.04190851999
294	0.04166497873
295	0.04143469928
296	0.04113117402
297	0.0409573257
298	0.04084368125
299	0.04059293833
300	0.04035710225
301	0.04019317175
0.2983970286
312	0.297874507
313	0.2974163053
314	0.2971529145
315	0.296764443
316	0.2964039349
317	0.2959941646
318	0.2956264113
319	0.2951027164
320	0.2947628634
